[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - KF514423.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - JX993988.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - FV537211.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - HQ890545.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - AY559095.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - KF514417.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - GQ153543.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - CS480537.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - KY417145.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - FJ882929.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - AY394998.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - EU371563.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - AY394988.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - FJ882939.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - JX163926.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - CS079029.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - AY502931.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - HQ890530.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - JX162087.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - KF514407.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - AY559085.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:53] [gen3_augur_pyutils.ParseGenBank] - AY515512.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY568539.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY297028.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY559091.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - KF514413.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - GQ153547.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - MG772933.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - HQ890541.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - FJ882948.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY351680.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY502925.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - MN996532.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - KF367457.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - FJ882958.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY613948.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY545915.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - KY417151.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - HQ890534.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - KF514403.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:54] [gen3_augur_pyutils.ParseGenBank] - AY559081.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - AY559090.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - KF514412.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - AY686864.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - GQ153546.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - AY508724.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - AY291451.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - NC_004718.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - HQ890540.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - FJ882949.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - AY502924.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:55] [gen3_augur_pyutils.ParseGenBank] - JX163923.gb is not Covid19 sample, remove the file
